stride-length 5
input google-circuit
-------------------------------
--- input-specific specs
-------------------------------
google-circuit-num-rows 6
google-circuit-num-cols 6
google-circuit-num-cycles 12
google-circuit-patterns EFGH
google-circuit-seed 15210
-------------------------------
gates  597
qubits 36
show-circuit? no
sim query-bfs
warmup 0.0000
repeat 1
quantum simulator (query-bfs)
gate 131: non-zeros: 786432; slack: 20%; density: 0.00001144
gate 132: non-zeros: 786432; slack: 60%; density: 0.00001144
gate 133: non-zeros: 786432; slack: 60%; density: 0.00001144
gate 134: non-zeros: 786432; slack: 60%; density: 0.00001144
gate 135: non-zeros: 786432; slack: 60%; density: 0.00001144
gate 136: non-zeros: 786432; slack: 60%; density: 0.00001144
gate 137: non-zeros: 786432; slack: 60%; density: 0.00001144
gate 138: non-zeros: 786432; slack: 60%; density: 0.00001144
gate 139: non-zeros: 786432; slack: 60%; density: 0.00001144
gate 140: non-zeros: 786432; slack: 60%; density: 0.00001144
gate 141: non-zeros: 786432; slack: 60%; density: 0.00001144
gate 142: non-zeros: 786432; slack: 60%; density: 0.00001144
gate 143: non-zeros: 589824; slack: 70%; density: 0.00000858
gate 144: non-zeros: 491520; slack: 67%; density: 0.00000715
gate 145: non-zeros: 491520; slack: 60%; density: 0.00000715
gate 146: non-zeros: 368640; slack: 70%; density: 0.00000536
gate 147: non-zeros: 294912; slack: 68%; density: 0.00000429
gate 148: non-zeros: 294912; slack: 60%; density: 0.00000429
gate 149: non-zeros: 294912; slack: 60%; density: 0.00000429
gate 150: non-zeros: 294912; slack: 60%; density: 0.00000429
gate 151: non-zeros: 294912; slack: 60%; density: 0.00000429
gate 152: non-zeros: 294912; slack: 60%; density: 0.00000429
gate 153: non-zeros: 294912; slack: 60%; density: 0.00000429
gate 154: non-zeros: 294912; slack: 60%; density: 0.00000429
gate 155: non-zeros: 294912; slack: 60%; density: 0.00000429
gate 156: non-zeros: 294912; slack: 60%; density: 0.00000429
gate 157: non-zeros: 294912; slack: 60%; density: 0.00000429
gate 158: non-zeros: 589824; slack: 20%; density: 0.00000858
gate 159: non-zeros: 589824; slack: 60%; density: 0.00000858
gate 160: non-zeros: 1179648; slack: 20%; density: 0.00001717
gate 161: non-zeros: 1179648; slack: 60%; density: 0.00001717
gate 162: non-zeros: 1474560; slack: 50%; density: 0.00002146
gate 163: non-zeros: 1474560; slack: 60%; density: 0.00002146
gate 164: non-zeros: 1474560; slack: 60%; density: 0.00002146
gate 165: non-zeros: 1966080; slack: 47%; density: 0.00002861
gate 166: non-zeros: 1966080; slack: 60%; density: 0.00002861
gate 167: non-zeros: 1966080; slack: 60%; density: 0.00002861
gate 168: non-zeros: 1966080; slack: 60%; density: 0.00002861
gate 169: non-zeros: 3932160; slack: 20%; density: 0.00005722
gate 170: non-zeros: 3932160; slack: 60%; density: 0.00005722
gate 171: non-zeros: 3932160; slack: 60%; density: 0.00005722
gate 172: non-zeros: 5898240; slack: 40%; density: 0.00008583
gate 173: non-zeros: 5898240; slack: 60%; density: 0.00008583
gate 174: non-zeros: 11796480; slack: 20%; density: 0.00017166
gate 175: non-zeros: 23592960; slack: 20%; density: 0.00034332
gate 176: non-zeros: 23592960; slack: 60%; density: 0.00034332
gate 177: non-zeros: 23592960; slack: 60%; density: 0.00034332
gate 178: non-zeros: 23592960; slack: 60%; density: 0.00034332
gate 179: non-zeros: 23592960; slack: 60%; density: 0.00034332
gate 180: non-zeros: 23592960; slack: 60%; density: 0.00034332
gate 181: non-zeros: 23592960; slack: 60%; density: 0.00034332
gate 182: non-zeros: 23592960; slack: 60%; density: 0.00034332
gate 183: non-zeros: 23592960; slack: 60%; density: 0.00034332
gate 184: non-zeros: 47185920; slack: 20%; density: 0.00068665
gate 185: non-zeros: 47185920; slack: 60%; density: 0.00068665
gate 186: non-zeros: 47185920; slack: 60%; density: 0.00068665
gate 187: non-zeros: 47185920; slack: 60%; density: 0.00068665
gate 188: non-zeros: 23592960; slack: 80%; density: 0.00034332
gate 189: non-zeros: 17694720; slack: 70%; density: 0.00025749
gate 190: non-zeros: 13271040; slack: 70%; density: 0.00019312
gate 191: non-zeros: 11943936; slack: 64%; density: 0.00017381
gate 192: non-zeros: 11943936; slack: 60%; density: 0.00017381
gate 193: non-zeros: 9953280; slack: 67%; density: 0.00014484
gate 194: non-zeros: 8478720; slack: 66%; density: 0.00012338
gate 195: non-zeros: 7418880; slack: 65%; density: 0.00010796
gate 196: non-zeros: 7418880; slack: 60%; density: 0.00010796
gate 197: non-zeros: 7418880; slack: 60%; density: 0.00010796
gate 198: non-zeros: 6570944; slack: 65%; density: 0.00009562
gate 199: non-zeros: 5285344; slack: 68%; density: 0.00007691
gate 200: non-zeros: 10570688; slack: 20%; density: 0.00015382
gate 201: non-zeros: 21141376; slack: 20%; density: 0.00030765
gate 202: non-zeros: 10570688; slack: 80%; density: 0.00015382
gate 203: non-zeros: 10570688; slack: 60%; density: 0.00015382
gate 204: non-zeros: 10570688; slack: 60%; density: 0.00015382
gate 205: non-zeros: 10570688; slack: 60%; density: 0.00015382
gate 206: non-zeros: 10570688; slack: 60%; density: 0.00015382
gate 207: non-zeros: 10570688; slack: 60%; density: 0.00015382
gate 208: non-zeros: 10570688; slack: 60%; density: 0.00015382
gate 209: non-zeros: 10570656; slack: 61%; density: 0.00015382
gate 210: non-zeros: 11998720; slack: 55%; density: 0.00017460
gate 211: non-zeros: 11997920; slack: 61%; density: 0.00017459
gate 212: non-zeros: 15998528; slack: 47%; density: 0.00023281
gate 213: non-zeros: 15998336; slack: 61%; density: 0.00023281
gate 214: non-zeros: 15998208; slack: 61%; density: 0.00023280
gate 215: non-zeros: 19611392; slack: 51%; density: 0.00028538
gate 216: non-zeros: 19611392; slack: 60%; density: 0.00028538
gate 217: non-zeros: 19610928; slack: 61%; density: 0.00028538
gate 218: non-zeros: 19610928; slack: 60%; density: 0.00028538
gate 219: non-zeros: 19610224; slack: 61%; density: 0.00028537
gate 220: non-zeros: 19610224; slack: 60%; density: 0.00028537
gate 221: non-zeros: 19608832; slack: 61%; density: 0.00028535
gate 222: non-zeros: 28009472; slack: 43%; density: 0.00040759
gate 223: non-zeros: 28004224; slack: 61%; density: 0.00040752
gate 224: non-zeros: 27998112; slack: 61%; density: 0.00040743
gate 225: non-zeros: 47148128; slack: 33%; density: 0.00068610
gate 226: non-zeros: 70717376; slack: 41%; density: 0.00102907
gate 227: non-zeros: 70717376; slack: 60%; density: 0.00102907
gate 228: non-zeros: 70717376; slack: 60%; density: 0.00102907
gate 229: non-zeros: 141434752; slack: 20%; density: 0.00205815
gate 230: non-zeros: 141434752; slack: 60%; density: 0.00205815
gate 231: non-zeros: 188470592; slack: 47%; density: 0.00274261
gate 232: non-zeros: 188470592; slack: 60%; density: 0.00274261
gate 233: non-zeros: 188470592; slack: 60%; density: 0.00274261
gate 234: non-zeros: 188668864; slack: 60%; density: 0.00274549
gate 235: non-zeros: 188682656; slack: 60%; density: 0.00274569
gate 236: non-zeros: 141373600; slack: 71%; density: 0.00205726
gate 237: non-zeros: 141373600; slack: 60%; density: 0.00205726
gate 238: non-zeros: 141373600; slack: 60%; density: 0.00205726
gate 239: non-zeros: 141373600; slack: 60%; density: 0.00205726
gate 240: non-zeros: 134294512; slack: 63%; density: 0.00195424
gate 241: non-zeros: 100747448; slack: 70%; density: 0.00146607
gate 242: non-zeros: 73577872; slack: 71%; density: 0.00107070
gate 243: non-zeros: 57674556; slack: 69%; density: 0.00083928
gate 244: non-zeros: 57674556; slack: 60%; density: 0.00083928
gate 245: non-zeros: 57674556; slack: 60%; density: 0.00083928
gate 246: non-zeros: 43260940; slack: 70%; density: 0.00062953
gate 247: non-zeros: 32454926; slack: 70%; density: 0.00047228
gate 248: non-zeros: 24344160; slack: 70%; density: 0.00035425
gate 249: non-zeros: 20285950; slack: 67%; density: 0.00029520
gate 250: non-zeros: 20285950; slack: 60%; density: 0.00029520
gate 251: non-zeros: 20285764; slack: 61%; density: 0.00029520
gate 252: non-zeros: 20285114; slack: 61%; density: 0.00029519
gate 253: non-zeros: 40570228; slack: 20%; density: 0.00059037
gate 254: non-zeros: 40567512; slack: 61%; density: 0.00059033
